155,Schwäbisch Gmünd,48.8,9.8
156,Garbsen,52.4183,9.5981
157,Hürth,50.8775,6.8761
158,Stralsund,54.3,13.0833
159,Wesel,51.6586,6.6178
160,Greifswald,54.0833,13.3833
161,Offenburg,48.4708,7.9408
162,Langenfeld,51.1167,6.95
163,Neu-Ulm,48.3833,10
164,Unna,51.5347,7.6889
165,Göppingen,48.7025,9.6528
166,Euskirchen,50.6597,6.7917
167,Frankfurt (Oder),52.35,14.55
168,Hameln,52.1031,9.36
169,Sankt Augustin,50.77,7.1867
170,Stolberg,50.7667,6.2333
171,Görlitz,51.1528,14.9872
172,Eschweiler,50.8167,6.2833
173,Meerbusch,51.2667,6.6667
174,Waiblingen,48.8303,9.3169
175,Schweinfurt,50.05,10.2333
176,Baden-Baden,48.7619,8.2408
177,Langenhagen,52.4394,9.74
178,Hattingen,51.3992,7.1858
179,Bad Homburg,50.2292,8.6105
180,Pulheim,51,6.8
181,Lingen,52.5233,7.3172
182,Bad Salzuflen,52.0875,8.7506
183,Nordhorn,52.4333,7.0667
184,Wetzlar,50.5667,8.5
185,Frechen,50.9167,6.8167
186,Neustadt,49.35,8.15
187,Passau,48.5667,13.4667
188,Ahlen,51.7633,7.8911
189,Wolfenbüttel,52.1622,10.5369
190,Ibbenbüren,52.2778,7.7167
191,Kleve,51.79,6.14
192,Bad Kreuznach,49.8469,7.8669
193,Speyer,49.3194,8.4311
194,Böblingen,48.6833,9
195,Willich,51.2631,6.5492
196,Gummersbach,51.0333,7.5667
197,Ravensburg,47.7831,9.6114
198,Goslar,51.906,10.4292
199,Rastatt,48.8572,8.2031
200,Lörrach,47.6156,7.6614
201,Peine,52.3203,10.2336
202,Emden,53.3669,7.2061
203,Erftstadt,50.8167,6.7667
204,Heidenheim,48.6761,10.1544
205,Bergkamen,51.6167,7.6333
206,Leonberg,48.8014,9.0131
207,Frankenthal,49.5333,8.35
208,Bad Oeynhausen,52.2,8.8
209,Freising,48.4028,11.7489
210,Rheda-Wiedenbrück,51.8417,8.3
211,Bornheim,50.7592,7.005
212,Dachau,48.2603,11.4342
213,Gronau,52.2125,7.0417
214,Cuxhaven,53.8667,8.7
215,Alsdorf,50.8744,6.1615
216,Straubing,48.8772,12.5758
217,Soest,51.5711,8.1092
218,Stade,53.6008,9.4764
219,Herzogenrath,50.8667,6.1
220,Fellbach,48.8086,9.2758
221,Oberursel,50.2028,8.5769
222,Landau,49.1994,8.1231
223,Schwerte,51.4458,7.5653
224,Neunkirchen,49.3448,7.1799
225,Filderstadt,48.6667,9.2167
226,Dülmen,51.8308,7.2783
227,Hof,50.3167,11.9167
228,Melle,52.2031,8.3361
229,Gotha,50.9489,10.7183
230,Bünde,52.2,8.6
231,Wittenberg,51.8671,12.6484
232,Weinheim,49.5561,8.6697
233,Erkrath,51.2239,6.9147
234,Rodgau,50.0256,8.8841
235,Albstadt,48.2119,9.0239
236,Brühl,50.8333,6.9
237,Bruchsal,49.1333,8.6
238,Kaufbeuren,47.88,10.6225
239,Falkensee,52.5583,13.0917
240,Oranienburg,52.7544,13.2369
241,Kaarst,51.2278,6.6273
242,Bietigheim-Bissingen,48.9667,9.1333
243,Memmingen,47.9878,10.1811
244,Neustadt am Rübenberge,52.5055,9.4636
245,Lehrte,52.3725,9.9769
246,Kamen,51.5917,7.6653
247,Erkelenz,51.08,6.3156
248,Wismar,53.8925,11.465
249,Siegburg,50.8014,7.2044
250,Nettetal,51.3167,6.2833
251,Gifhorn,52.4886,10.5464
252,Dreieich,50.0189,8.6961
253,Borken,51.8439,6.8583
254,Amberg,49.4444,11.8483
255,Eisenach,50.9747,10.3244
256,Laatzen,52.3077,9.8133
257,Heinsberg,51.0631,6.0964
258,Homburg,49.3167,7.3333
259,Ansbach,49.3,10.5833
260,Germering,48.1333,11.3667
261,Aurich,53.4714,7.4836
262,Nordhausen,51.505,10.7911
263,Nürtingen,48.6267,9.3353
264,Wunstorf,52.4238,9.4359
265,Schwabach,49.3292,11.0208
266,Königswinter,50.6833,7.1833
267,Freiberg,50.9119,13.3428
268,Kirchheim unter Teck,48.6483,9.4511
269,Leinfelden-Echterdingen,48.6928,9.1428
270,Bensheim,49.6811,8.6228
271,Lemgo,52.0277,8.9043
272,Eberswalde,52.8331,13.8331
273,Pirmasens,49.2,7.6
274,Ostfildern,48.7228,9.2631
275,Schwäbisch Hall,49.1122,9.7375
276,Weißenfels,51.2,11.9667
277,Freital,51.0167,13.65
278,Buxtehude,53.4769,9.7011
279,Hückelhoven,51.0608,6.2197
280,Halberstadt,51.8958,11.0467
281,Maintal,50.15,8.8333
282,Neumarkt,49.2833,11.4667
283,Hofheim,50.0876,8.4447
284,Löhne,52.2,8.7
285,Schorndorf,48.8,9.5333
286,Ettlingen,48.9333,8.4
287,Völklingen,49.25,6.8333
288,Würselen,50.8247,6.1275
289,Mettmann,51.25,6.9667
290,Stendal,52.6,11.85
291,Ahaus,52.0794,7.0134
292,Niederkassel,50.8167,7.0333
293,Ilmenau,50.6872,10.9142
294,Neu Isenburg,50.0558,8.6971
295,Langen,49.9893,8.6803
296,Pirna,50.9622,13.9403
297,Bitterfeld,51.6167,12.3167
298,Bautzen,51.1814,14.4239
299,Fürstenfeldbruck,48.1778,11.2556
300,Backnang,48.9464,9.4306
301,Kamp-Lintfort,51.5,6.5333
302,Greven,52.0917,7.6083
303,Papenburg,53.0667,7.4
304,Wesseling,50.8207,6.9786
305,Beckum,51.7558,8.0408
306,Königs Wusterhausen,52.2917,13.625
307,Warendorf,51.9539,7.9933
308,Suhl,50.6106,10.6931
309,Erding,48.3001,11.9082
310,Kehl,48.5711,7.8089
311,Emsdetten,52.1728,7.5344
312,Mühlhausen,51.2167,10.45
313,Coesfeld,51.9458,7.1675
314,Sankt Ingbert,49.3,7.1167
315,Tuttlingen,47.985,8.8233
316,Limburg,50.3833,8.0667
317,Porta Westfalica,52.2167,8.9333
318,Ingelheim,49.9747,8.0564
319,Sinsheim,49.25,8.8833
320,Mörfelden-Walldorf,49.9896,8.5661
321,Dietzenbach,50.0086,8.7756
322,Meppen,52.6906,7.291
323,Lage,51.9833,8.8
324,Cloppenburg,52.8478,8.0439
325,Saarlouis,49.3167,6.75
326,Radebeul,51.1033,13.67
327,Bad Vilbel,50.1781,8.7361
328,Wermelskirchen,51.1392,7.2051
329,Winsen,53.3667,10.2167
330,Datteln,51.6539,7.3417
331,Kempen,51.3658,6.4194
332,Seelze,52.3961,9.5981
333,Leer,53.2308,7.4528
334,Crailsheim,49.1347,10.0706
335,Merseburg,51.3544,11.9928
336,Zweibrücken,49.2494,7.3608
337,Balingen,48.2731,8.8506
338,Hemer,51.3833,7.7667
339,Barsinghausen,52.3031,9.4606
340,Wedel,53.5833,9.7
341,Ahrensburg,53.6747,10.2411
342,Steinfurt,52.1504,7.3366
343,Geldern,51.5197,6.3325
344,Viernheim,49.538,8.5792
345,Goch,51.6839,6.1619
346,Deggendorf,48.8353,12.9644
347,Uelzen,52.9647,10.5658
348,Korschenbroich,51.1833,6.5167
349,Rheinfelden (Baden),47.5611,7.7917
350,Biberach,48.0981,9.7886
351,Bad Nauheim,50.3667,8.75
352,Itzehoe,53.925,9.5164
353,Jülich,50.9222,6.3583
354,Lampertheim,49.5942,8.4671
355,Bernburg,51.8,11.7333
356,Wernigerode,51.835,10.7853
357,Forchheim,49.7197,11.0581
358,Naumburg,51.1521,11.8098
359,Vechta,52.7306,8.2886
360,Altenburg,50.985,12.4333
361,Hoyerswerda,51.4331,14.25
362,Georgsmarienhütte,52.2031,8.0447
363,Fürstenwalde,52.3667,14.0667
364,Achim,53.013,9.033
365,Oer-Erkenschwick,51.6422,7.2508
366,Delbrück,51.7667,8.5667
367,Herrenberg,48.5967,8.8708
368,Gevelsberg,51.3265,7.3559
369,Haan,51.1931,7.0131
370,Radolfzell am Bodensee,47.7369,8.9697
371,Weil am Rhein,47.5947,7.6108
372,Kreuztal,50.962,8.0064
373,Rheinberg,51.5467,6.6006
374,Geesthacht,53.4381,10.3747
375,Werl,51.5528,7.9139
376,Bramsche,52.4089,7.9728
377,Schönebeck,52.0167,11.75
378,Burgdorf,52.45,10.0083
379,Einbeck,51.8167,9.8667
380,Neuruppin,52.9222,12.8
381,Unterschleißheim,48.2833,11.5667
382,Lohmar,50.8415,7.2166
383,Ennepetal,51.3021,7.3425
384,Riesa,51.3081,13.2939
385,Andernach,50.4397,7.4017
386,Osterholz-Scharmbeck,53.2269,8.7947
387,Taunusstein,50.1435,8.1606
388,Gaggenau,48.8039,8.3194
389,Bad Hersfeld,50.8683,9.7067
390,Friedberg,48.35,10.9833
391,Schwedt (Oder),53.0631,14.2831
392,Saalfeld,50.6506,11.3542
393,Meschede,51.3503,8.2836
394,Derne,51.6667,7.6167
395,Neuburg,48.7333,11.1833
396,Merzig,49.4471,6.6312
397,Kelkheim (Taunus),50.138,8.4525
398,Waltrop,51.6167,7.3833
399,Tönisvorst,51.3208,6.4931
400,Schwelm,51.2904,7.2972
401,Vaihingen an der Enz,48.9328,8.9564
402,Bretten,49.0364,8.7061
403,Steinheim am Main,50.1257,8.83
404,Friedberg,50.3353,8.755
405,Rietberg,51.8,8.4333
406,Rendsburg,54.3044,9.6644
407,Güstrow,53.7939,12.1764
408,Landsberg,48.0528,10.8689
409,Oelde,51.8258,8.1436
410,Königsbrunn,48.2689,10.8908
411,Rösrath,50.9,7.1833
412,Winnenden,48.8764,9.3978
413,Northeim,51.7067,10.0011
414,Bühl,48.6953,8.135
415,Springe,52.2167,9.55
416,Schwandorf,49.3236,12.0993
417,Höxter,51.7667,9.3667
418,Meißen,51.1636,13.4775
419,Zeitz,51.0478,12.1383
420,Leichlingen,51.1167,7.0167
421,Griesheim,49.8594,8.5525
422,Emmendingen,48.1214,7.8492
423,Olching,48.2,11.3167
424,Idar-Oberstein,49.7019,7.3253
425,Reinbek,53.5089,10.2483
426,Wegberg,51.1333,6.2667
427,Geislingen an der Steige,48.6244,9.8306
428,Baunatal,51.2589,9.4183
429,Wetter (Ruhr),51.3881,7.395
430,Grimma,51.2386,12.7253
431,Kevelaer,51.5833,6.25
432,Leimen,49.3481,8.6911
433,Bad Neuenahr-Ahrweiler,50.5447,7.1133
434,Baesweiler,50.9,6.1833
435,Sundern,51.3167,8
436,Neustadt,48.8111,9.3656
437,Mechernich,50.6,6.65
438,Arnstadt,50.8342,10.9464
439,Wiesloch,49.2942,8.6983
440,Neckarsulm,49.1917,9.2244
441,Geilenkirchen,50.9653,6.1194
442,Rheinbach,50.6256,6.9491
443,Overath,50.95,7.3
